id_paciente,nombre,especie,raza,fecha_nac,id_propietario,activo
P001,Firulais,Perro,Labrador,2019-04-12,C001,True
P002,Michi,Gato,Siamés,2021-07-03,C002,True
P003,Coco,Perro,Beagle,2018-11-20,C001,False
P004,Nube,Conejo,Angora,2022-02-14,C003,True
P005,Rex,Perro,Pastor Alemán,2020-09-08,C004,True
P006,Luna,Gato,Persa,2023-01-17,C005,True
P007,Pipo,Perro,Poodle,2017-06-30,C002,True
P008,Bambú,Ave,Cacatúa,2021-03-22,C006,True
P009,Toby,Perro,Golden Retriever,2020-05-18,C007,True
P010,Mishu,Gato,Común europeo,2022-09-10,C007,True
P011,Rocky,Perro,Bulldog,2019-12-04,C008,True
P012,Lola,Perro,Yorkshire,2023-06-15,C011,True
P013,Simón,Gato,Maine Coon,2021-11-30,C012,True
P014,Kira,Perro,Husky,2020-03-22,C013,True
P015,Pancho,Perro,Mestizo,2018-08-08,C014,True
P016,Mora,Gato,Bengala,2022-04-27,C015,True
P017,Tango,Perro,Border Collie,2021-01-14,C016,True
P018,Pelusa,Conejo,Holland Lop,2023-03-19,C001,True
P019,Roque,Ave,Amazona,2019-10-25,C006,True
P020,Coco II,Perro,Caniche Toy,2024-02-11,C002,False
P021,Felipe,Perro,Mestizo,2022-07-07,C017,True
P022,Toto,Perro,Doberman,2020-11-30,C010,True
