id_vacuna,id_paciente,id_vet,fecha_aplicacion,nombre_vacuna,proxima_dosis
VAC001,P001,V001,2025-10-05,Antirrábica,2026-10-05
VAC002,P001,V001,2025-10-05,Sextuple,2026-10-05
VAC003,P002,V001,2025-08-20,Triple Felina,2026-08-20
VAC004,P005,V005,2025-11-10,Antirrábica,2026-11-10
VAC005,P007,V005,2025-07-14,Sextuple,2026-07-14
VAC006,P006,V003,2025-11-18,Triple Felina,2026-11-18
VAC007,P001,V001,2026-05-12,Sextuple,2027-05-12
VAC008,P004,V001,2026-04-20,Antirrábica,2027-04-20
VAC009,P006,V003,2026-05-15,Triple Felina,2027-05-15
VAC010,P008,V007,2026-05-25,Específica aves,2027-05-25
VAC011,P009,V001,2026-04-22,Sextuple,2027-04-22
VAC012,P009,V001,2026-04-22,Antirrábica,2027-04-22
VAC013,P010,V003,2026-04-25,Triple Felina,2027-04-25
VAC014,P012,V005,2026-04-30,Sextuple,2027-04-30
VAC015,P013,V003,2026-05-08,Triple Felina,2027-05-08
VAC016,P014,V006,2026-05-12,Antirrábica,2027-05-12
VAC017,P015,V008,2026-05-14,Sextuple,2027-05-14
VAC018,P016,V009,2026-05-19,Triple Felina,2027-05-19
VAC019,P017,V015,2026-04-10,Antirrábica,2027-04-10
VAC020,P018,V005,2026-03-12,Sextuple,2027-03-12
VAC021,P022,V006,2026-04-15,Antirrábica,2027-04-15
VAC022,P003,V001,2024-06-10,Sextuple,2025-06-10
VAC023,P004,V005,2024-09-20,Triple,2025-09-20
VAC024,P007,V001,2025-01-05,Antirrábica,2026-01-05
VAC025,P008,V007,2024-11-10,Específica aves,2025-11-10
VAC026,P012,V005,2024-10-15,Sextuple,2025-10-15
VAC027,P015,V002,2025-03-22,Antirrábica,2026-03-22
VAC028,P018,V001,2024-12-08,Triple,2025-12-08
VAC029,P002,V003,2025-04-10,Triple Felina,2026-04-10
VAC030,P011,V004,2024-07-15,Sextuple,2025-07-15
VAC031,P003,V001,2024-04-15,Triple Felina,2025-04-15
VAC032,P019,V010,2024-08-30,Específica aves,2025-08-30
VAC033,P022,V006,2025-02-18,Antirrábica,2026-02-18
